user_id,recipt_id
214,8
139,17
977,14
145,4
385,23
464,16
965,16
249,11
665,5
429,16
480,1
387,23
719,23
79,11
636,9
324,21
15,6
734,9
519,19
20,11
962,21
443,13
937,19
577,1
188,11
281,22
977,12
206,1
504,14
350,1
155,9
756,6
423,19
63,17
224,16
819,19
657,17
520,11
287,24
966,4
662,19
686,12
178,14
977,17
902,16
196,4
176,1
583,21
546,3
277,22
425,3
88,2
356,7
567,22
833,7
716,3
80,1
656,12
409,1
317,8
162,22
891,8
470,6
1,22
117,14
899,9
632,12
461,14
668,16
658,20
14,10
250,22
13,22
635,8
417,4
562,14
222,7
180,17
835,18
941,14
468,13
329,16
826,15
199,2
279,12
44,24
904,17
961,3
757,17
31,17
770,4
89,23
744,22
309,15
148,14
468,11
760,1
152,24
281,15
173,15
558,3
213,9
646,19
661,17
335,18
212,21
396,1
108,11
169,5
518,11
311,12
790,7
977,6
92,9
532,8
461,1
454,20
804,4
469,4
193,14
734,4
816,11
782,11
461,7
344,2
776,13
407,0
460,17
978,3
737,22
416,4
3,23
288,15
468,10
35,12
650,10
456,20
542,8
663,17
719,20
262,18
754,3
432,2
977,8
554,24
926,23
237,19
582,11
656,9
439,23
12,17
400,1
798,13
647,23
525,19
157,10
396,15
978,16
698,15
542,3
218,18
274,10
857,11
568,6
600,12
791,7
821,0
786,22
98,6
331,21
61,23
382,17
393,4
894,22
815,0
127,11
565,8
157,20
912,9
81,11
133,7
535,22
287,21
456,6
515,17
628,16
485,21
935,8
943,12
820,19
760,7
970,13
918,10
437,8
222,12
182,4
360,5
511,0
177,7
524,22
132,19
479,4
419,7
367,13
490,16
601,21
368,1
742,17
189,11
143,11
458,12
642,1
524,13
967,20
504,12
144,19
14,9
86,8
683,7
233,0
938,17
141,5
742,16
42,7
710,10
322,1
963,24
582,20
531,7
214,11
211,12
125,10
540,15
898,19
623,4
3,17
731,22
106,11
872,3
977,4
487,8
407,1
660,19
307,12
518,0
3,16
8,23
799,5
160,17
644,7
151,6
321,0
210,2
789,4
720,22
252,2
795,4
279,17
507,23
112,22
221,20
829,20
630,18
691,19
339,14
492,23
703,5
668,7
262,16
346,14
564,24
588,18
418,16
103,23
655,21
589,4
729,18
84,8
437,9
48,9
963,17
62,14
514,13
272,7
295,23
979,9
692,14
437,14
123,5
777,14
759,5
674,18
642,22
943,24
635,14
118,2
206,15
534,5
284,12
241,19
71,4
505,1
380,0
9,7
209,3
525,8
625,1
762,10
47,3
46,14
911,16
417,9
577,6
391,1
109,11
689,18
570,15
83,11
562,4
866,0
897,19
157,20
391,0
130,10
986,5
510,14
325,22
20,11
